air_temp_set_1,relative_humidity_set_1,dew_point_temperature_set_1d,road_temp_set_1,wind_speed_set_1,label
1.0,46.0,-9.447333333,2.773333333,12.61133333,Ice
0.933333333,44.53333333,-9.92,2.626666667,11.462,Ice
1.0,44.6,-9.839333333,2.146666667,12.09133333,Ice
1.0,46.13333333,-9.406,2.013333333,11.94266667,Snow
1.0,48.86666667,-8.668666667,1.246666667,11.70333333,Snow
1.0,46.26666667,-9.369333333,-0.133333333,12.96266667,Snow
1.333333333,48.6,-8.434666667,-0.02,13.35266667,Snow
1.0,52.85714286,-7.65,-1.126666667,13.074,Snow
0.466666667,55.6,-7.488666667,-1.68,13.946,Snow
0.0,57.2,-7.554666667,-3.113333333,12.94466667,Snow
0.0,58.33333333,-7.298666667,-3.926666667,9.370666667,Snow
0.0,58.2,-7.327333333,-3.533333333,7.574,Snow
0.0,59.46666667,-7.047333333,-3.1,2.702666667,Snow
0.0,58.86666667,-7.179333333,-3.886666667,0.904666667,Snow
-0.4,61.06666667,-7.078,-4.886666667,1.220666667,Snow
0.533333333,59.2,-6.605333333,-5.18,8.593333333,Snow
1.0,56.86666667,-6.690666667,-5.086666667,10.03733333,Snow
0.866666667,58.06666667,-6.543333333,-4.586666667,10.24266667,Snow
0.8,58.06666667,-6.606666667,-3.74,10.29733333,Snow
0.0,60.46666667,-6.827333333,-3.793333333,11.388,Snow
0.0,60.6,-6.798,-5.153333333,12.31333333,Snow
0.0,60.78571429,-6.757857143,-5.185714286,11.52785714,Snow
-0.4,62.0,-6.878666667,-6.18,4.110666667,Snow
-0.533333333,63.73333333,-6.641333333,-6.513333333,4.148666667,Snow
0.0,62.93333333,-6.304,-6.22,11.33466667,Snow
0.0,63.93333333,-6.094,-5.84,12.07333333,Snow
-0.4,67.06666667,-5.842666667,-5.986666667,11.92733333,Snow
-0.533333333,68.8,-5.63,-5.866666667,13.37133333,Snow
